Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
1,0.074,3.0,https://jornalggn.com.br/noticia/xadrez-para-entender-as-ligacoes-dos-bolsonaro-com-a-bahia-por-luis-nassif/,17103,"Wed, 12 Feb 2020 03:54:50 GMT",,100,1,urls
2,0.073,1.1,@erickbarros19,2895,"Wed, 12 Feb 2020 03:51:01 GMT",http://pbs.twimg.com/media/EQi98BoWkAEnHdj.jpg,300,3,user_mentions
19,0.073,0.7,@eduardomilitao,175,"Wed, 12 Feb 2020 03:54:58 GMT",http://pbs.twimg.com/media/EQi_BOzWsAMkwSu.jpg,3000,30,user_mentions
1,0.073,2.9,@claudiasrocca,9768,"Wed, 12 Feb 2020 00:29:53 GMT",,100,1,user_mentions
10,0.072,0.7,@tokage_uchida,534,"Wed, 12 Feb 2020 03:43:59 GMT",,1100,11,user_mentions
1,0.072,2.9,https://twitter.com/dpolchera/status/1227432392941543424/photo/1,13557,"Wed, 12 Feb 2020 03:21:01 GMT",http://pbs.twimg.com/media/EQi3QXBWAAE3sn1.jpg,100,1,media
2,0.072,1.1,@laudicelm,11040,"Wed, 12 Feb 2020 03:44:33 GMT",,300,3,user_mentions
1,0.071,2.8,@juniorssa_ba38,745,"Wed, 12 Feb 2020 03:29:46 GMT",,100,1,user_mentions
1,0.071,2.8,@leo_moura_,2981,"Wed, 12 Feb 2020 00:50:25 GMT",http://pbs.twimg.com/tweet_video_thumb/EQiUxyRWAAAnUBc.jpg,100,1,user_mentions
1,0.071,2.8,https://twitter.com/leo_moura_/status/1227394492568829952/photo/1,2983,"Wed, 12 Feb 2020 00:50:25 GMT",http://pbs.twimg.com/tweet_video_thumb/EQiUxyRWAAAnUBc.jpg,100,1,media
6,0.071,0.7,@matlui,837,"Wed, 12 Feb 2020 03:47:16 GMT",,1300,13,user_mentions
840,0.071,0.7,que,13,"Wed, 12 Feb 2020 03:56:15 GMT",,781,1710,intext
1,0.070,2.8,@andrrobertosil5,1142,"Wed, 12 Feb 2020 00:09:46 GMT",http://pbs.twimg.com/media/EQiLeWVW4AA98TT.jpg,100,1,user_mentions
1,0.070,2.8,https://twitter.com/sugoisama_/status/1227381925817540610/photo/1,11827,"Wed, 12 Feb 2020 00:00:29 GMT",http://pbs.twimg.com/tweet_video_thumb/EQiJWeTX0AIzGFm.jpg,100,1,media
1,0.070,2.8,@hugoalv44610932,4803,"Wed, 12 Feb 2020 03:29:22 GMT",,100,1,user_mentions
1,0.070,2.8,https://twitter.com/andrrobertosil5/status/1227384261289926657/photo/1,1144,"Wed, 12 Feb 2020 00:09:46 GMT",http://pbs.twimg.com/media/EQiLeWVW4AA98TT.jpg,100,1,media
1,0.070,2.8,@sugoisama_,11825,"Wed, 12 Feb 2020 00:00:29 GMT",http://pbs.twimg.com/tweet_video_thumb/EQiJWeTX0AIzGFm.jpg,100,1,user_mentions
